,word,count
1,data analysis,511
2,sql,464
3,python,381
4,communication,309
5,visualization,292
7,machine learning,223
8,statistical,213
10,management,188
11,analytics,185
12,r,171
13,modeling,164
14,data science,137
15,excel,132
17,power bi,98
19,tableau,93
20,problemsolving,90
21,programming,83
22,cloud,81
25,collaboration,70
27,statistic,66
28,mining,61
29,database,61
30,tool,60
32,model,54
33,reporting,53
34,predictive,50
35,intelligence,44
36,development,44
37,big,43
38,problem,42
39,testing,42
40,solving,41
41,ai,40
42,design,40
43,nlp,40
44,engineering,36
45,deep,34
46,marketing,34
47,optimization,34
48,aws,34
49,sa,33
50,system,32
51,language,32
52,office,32
53,process,31
54,software,30
55,customer,30
56,technique,28
57,agile,28
58,ab,28
59,forecasting,26
60,pipeline,26
61,computing,26
62,method,25
63,azure,25
64,thinking,25
65,algorithm,25
66,time,25
67,detail,24
68,governance,24
69,spark,24
70,teamwork,24
71,organizational,24
72,platform,24
73,dashboard,23
74,presentation,23
75,quality,23
76,ml,23
77,cleaning,22
78,computer,22
79,manipulation,21
80,attention,21
81,google,21
82,technical,21
83,service,21
84,processing,21
85,warehousing,20
86,team,19
87,quantitative,19
88,technology,19
89,product,19
90,advanced,19
91,financial,19
92,research,19
93,m,18
94,automation,18
95,powerbi,18
96,inference,17
97,tensorflow,17
98,hadoop,17
99,looker,17
100,scripting,16
101,extraction,16
102,vision,16
103,stakeholder,16
104,validation,16
105,interpersonal,16
106,pyspark,15
107,report,15
108,storytelling,14
109,databricks,14
110,java,14
111,experimentation,13
112,leadership,13
113,mathematics,13
114,causal,13
115,architecture,13
116,devops,13
117,user,13
118,scala,13
119,detection,13
120,coding,13
121,pytorch,13
122,healthcare,13
123,experience,13
124,powerpoint,12
125,warehouse,12
126,crossfunctional,12
127,relational,12
128,generative,12
129,strategy,12
130,cleansing,12
131,regression,11
132,api,11
133,series,11
134,improvement,11
135,integration,11
136,knowledge,11
137,solution,11
138,modelling,11
139,llm,11
140,sdlc,10
141,panda,10
142,wrangling,10
143,oracle,10
144,query,10
145,querying,10
146,methodology,10
147,operation,10
148,critical,10
149,requirement,10
150,control,10
151,recommendation,10
152,artificial,10
153,acumen,10
154,web,9
155,object,9
156,dbt,9
157,writing,9
158,cicd,9
159,linux,9
160,snowflake,9
161,performance,9
162,natural,9
163,erp,9
164,digital,9
165,docker,9
166,risk,9
167,integrity,9
168,mlops,9
169,collection,9
170,aiml,9
171,environment,8
172,transformation,8
173,geospatial,8
174,mathematical,8
175,reinforcement,8
176,structure,8
177,suite,8
178,git,8
179,dax,8
180,building,8
181,market,8
182,pricing,8
183,server,8
184,experimental,7
185,documentation,7
186,scrum,7
187,insight,7
188,sagemaker,7
189,crm,7
190,hive,7
191,gi,7
192,network,7
193,entry,7
194,planning,7
195,gathering,7
196,large,7
197,metric,7
198,concept,7
199,text,7
200,kpi,7
201,sharepoint,7
202,apache,7
203,industry,7
204,evaluation,7
205,strategic,7
206,alteryx,6
207,mentorship,6
208,preparation,6
209,qlik,6
210,lake,6
211,airflow,6
212,genai,6
213,mentoring,6
214,feature,6
215,visual,6
216,analytic,6
217,dashboarding,6
218,security,6
219,code,6
220,framework,6
221,datadriven,6
222,growth,6
223,bayesian,6
224,organization,6
225,mapping,6
226,scikitlearn,6
227,profiling,6
228,adobe,6
229,timeseries,5
230,supervised,5
231,bigquery,5
232,application,5
233,behavior,5
234,clinical,5
235,simulation,5
236,sheet,5
237,sap,5
238,expertise,5
239,relationship,5
240,unix,5
241,jira,5
242,nosql,5
243,version,5
244,multitasking,5
245,claim,5
246,gen,5
247,accounting,5
248,health,5
249,campaign,5
250,acquisition,5
251,segmentation,5
252,hr,5
253,exploration,5
254,engagement,5
255,anomaly,5
256,environmental,5
257,rest,5
258,client,5
259,review,5
260,vba,5
261,neural,5
262,supply,5
263,chain,5
264,sale,4
265,selfstarter,4
266,work,4
267,factory,4
268,player,4
269,proficiency,4
270,containerization,4
271,xgboost,4
272,infrastructure,4
273,training,4
274,postgresql,4
275,social,4
276,emr,4
277,qualitative,4
278,prompt,4
279,distributed,4
280,theory,4
281,creation,4
282,matlab,4
283,test,4
284,unsupervised,4
285,ad,4
286,mlflow,4
287,datasets,4
288,sparksql,4
289,medium,4
290,c,4
291,collaborative,4
292,compliance,4
293,creative,4
294,automate,4
295,gcp,4
296,javascript,4
297,linear,4
298,image,4
299,focus,3
300,decision,3
301,epidemiology,3
302,cloudbased,3
303,ui,3
304,medical,3
305,billing,3
306,rag,3
307,mongodb,3
308,source,3
309,consulting,3
310,mysql,3
311,qlikview,3
312,information,3
313,open,3
314,implementation,3
315,kubernetes,3
316,apis,3
317,preprocessing,3
318,html,3
319,flow,3
320,monitoring,3
321,support,3
322,generation,3
323,journey,3
324,fraud,3
325,payroll,3
326,gpt,3
327,esg,3
328,manufacturing,3
329,ecommerce,3
330,regulatory,3
331,scientist,3
332,measurement,3
333,computational,3
334,procurement,3
335,clustering,3
336,experiment,3
337,learner,3
338,demand,3
339,principle,3
340,trend,3
341,initiative,3
342,regulation,3
343,roadmaps,3
344,sigma,3
345,story,3
346,stack,3
347,background,3
348,finance,3
349,asset,3
350,attribution,3
351,trial,3
352,custom,3
353,logistics,3
354,adaptability,3
355,coordination,3
356,functional,3
357,prioritization,3
358,plsql,3
359,probability,3
360,case,3
361,public,3
362,privacy,3
363,macro,3
364,exploratory,3
365,domain,3
366,github,3
367,standard,3
368,sense,3
369,policy,3
370,spss,3
371,master,3
372,specification,2
373,applied,2
374,ner,2
375,set,2
376,satellite,2
377,normalization,2
378,library,2
379,safety,2
380,embedding,2
381,capacity,2
382,chatbot,2
383,emerging,2
384,access,2
385,mssql,2
386,rd,2
387,continuous,2
388,criticalthinking,2
389,gaming,2
390,complex,2
391,dataframes,2
392,kafka,2
393,troubleshooting,2
394,postgres,2
395,vector,2
396,spatial,2
397,workflow,2
398,life,2
399,cycle,2
400,iwork,2
401,gpu,2
402,assurance,2
403,genomics,2
404,human,2
405,comparison,2
406,bioinformatics,2
407,procedure,2
408,document,2
409,hoc,2
410,change,2
411,making,2
412,aml,2
413,independent,2
414,studio,2
415,package,2
416,amazon,2
417,facilitation,2
418,hyperparameter,2
419,configuration,2
420,six,2
421,classification,2
422,itil,2
423,numpy,2
424,unit,2
425,tracking,2
426,federated,2
427,usage,2
428,arcgis,2
429,telemetry,2
430,production,2
431,endtoend,2
432,biostatistics,2
433,pressure,2
434,unixlinux,2
435,edi,2
436,investigative,2
437,migration,2
438,matplotlib,2
439,oriented,2
440,ability,2
441,survey,2
442,cost,2
443,credit,2
444,rpython,2
445,ops,2
446,plan,2
447,tdd,2
448,word,2
449,price,2
450,script,2
451,consumer,2
452,energy,2
453,spotfire,2
454,opensource,2
455,cognos,2
456,ssrs,2
457,retail,2
458,metadata,2
459,curve,2
460,practice,2
461,bash,2
462,use,2
463,powershell,2
464,personalization,2
465,kera,2
466,hypothesis,2
467,semantic,2
468,sustainability,2
469,redshift,2
470,saas,2
471,esh,2
472,enablon,2
473,tensor,2
474,bert,2
475,langchain,2
476,telecom,2
477,uiux,2
478,math,2
479,economics,2
480,domo,2
481,presenting,2
482,largescale,2
483,proactive,2
484,devsecops,2
485,aptitude,2
486,algebra,2
487,gradient,2
488,kibana,2
489,administration,2
490,elasticsearch,2
491,explainable,2
492,hris,2
493,tsql,2
494,operational,2
495,mindset,2
496,budget,2
497,crime,2
498,talend,2
499,email,2
500,mix,2
501,bb,2
502,verbal,2
503,salesforce,2
504,xml,2
505,orientation,2
506,teaching,2
507,consultant,1
508,roc,1
509,confusion,1
510,search,1
511,meteorological,1
512,extension,1
513,provisioning,1
514,matrix,1
515,dimensional,1
516,chart,1
517,scalable,1
518,elk,1
519,fairness,1
520,triage,1
521,objective,1
522,coaching,1
523,snowpark,1
524,groovy,1
525,regex,1
526,deployment,1
527,reduction,1
528,markovchain,1
529,minded,1
530,ux,1
531,mastery,1
532,julia,1
533,atmospheric,1
534,relationshipbuilding,1
535,constrained,1
536,dynamodb,1
537,cross,1
538,prototype,1
539,rnn,1
540,cnn,1
541,capability,1
542,sparkml,1
543,modern,1
544,datafactory,1
545,frontend,1
546,parsing,1
547,tidyverse,1
548,backend,1
549,driven,1
550,retrieval,1
551,tech,1
552,summarization,1
553,best,1
554,multimodal,1
555,emergency,1
556,marketplace,1
557,diagnostics,1
558,program,1
559,spreadsheet,1
560,transformer,1
561,prescriptive,1
562,elasticity,1
563,online,1
564,command,1
565,graphbased,1
566,hyper,1
567,compsci,1
568,spatiotemporal,1
569,hcp,1
570,stochastic,1
571,adhoc,1
572,serverless,1
573,pattern,1
574,epic,1
575,clarity,1
576,iam,1
577,machinelearning,1
578,prediction,1
579,role,1
580,dnaseq,1
581,rnaseq,1
582,adtech,1
583,proteomics,1
584,ranking,1
585,orchestration,1
586,compression,1
587,interpretation,1
588,revenue,1
589,observational,1
590,transaction,1
591,sampling,1
592,paradigm,1
593,biological,1
594,transfer,1
595,enhancement,1
596,biochemical,1
597,high,1
598,textual,1
599,pig,1
600,pretrained,1
601,nlg,1
602,numerical,1
603,nlu,1
604,soft,1
605,realworld,1
606,multiarmed,1
607,evidence,1
608,cv,1
609,disease,1
610,boosting,1
611,cpg,1
612,scientific,1
613,shiny,1
614,bandit,1
615,clearance,1
616,interview,1
617,tssci,1
618,prototyping,1
619,realtime,1
620,huggingface,1
621,redcap,1
622,openai,1
623,retention,1
624,funnel,1
625,container,1
626,amplitude,1
627,markdown,1
628,telematics,1
629,marketingspecific,1
630,sme,1
631,input,1
632,resource,1
633,briefing,1
634,pharmaceutical,1
635,sklearn,1
636,registry,1
637,mistral,1
638,insurance,1
639,consumerfacing,1
640,tree,1
641,datascience,1
642,lifetime,1
643,value,1
644,kql,1
645,setup,1
646,tuning,1
647,standardization,1
648,flink,1
649,seaborn,1
650,causalml,1
651,falcon,1
652,assessment,1
653,loading,1
654,bureau,1
655,dev,1
656,cartography,1
657,dimensionality,1
658,selection,1
659,businessminded,1
660,bdd,1
661,distribution,1
662,forensics,1
663,cluster,1
664,deepfake,1
665,mlframeworks,1
666,bc,1
667,arima,1
668,llama,1
669,auction,1
670,engine,1
671,proficient,1
672,ocr,1
673,serious,1
674,interpretable,1
675,mldl,1
676,scraping,1
677,study,1
678,random,1
679,forest,1
680,descent,1
681,conducting,1
682,fast,1
683,logistic,1
684,intermediate,1
685,startup,1
686,econometric,1
687,kubeflow,1
688,cohort,1
689,payment,1
690,delivery,1
691,analyst,1
692,synapse,1
693,attitude,1
694,positive,1
695,admin,1
696,db,1
697,consultative,1
698,gtm,1
699,auditing,1
700,intercultural,1
701,businessorientation,1
702,fintech,1
703,inventory,1
704,route,1
705,transportation,1
706,flowcal,1
707,strong,1
708,flexible,1
709,reliable,1
710,solutionoriented,1
711,bank,1
712,researching,1
713,geographic,1
714,multitouch,1
715,linked,1
716,lead,1
717,paid,1
718,at,1
719,recruiting,1
720,blending,1
721,vault,1
722,enertia,1
723,banking,1
724,written,1
725,summit,1
726,pqms,1
727,comet,1
728,trackwise,1
729,audit,1
730,capa,1
731,nc,1
732,lims,1
733,gxp,1
734,edw,1
735,cdl,1
736,fastpaced,1
737,supervision,1
738,minimal,1
739,structured,1
740,fdc,1
741,unstructured,1
742,multifunctional,1
743,confluence,1
744,datawarehouse,1
745,effectiveness,1
746,net,1
747,quicksight,1
748,superset,1
749,dundas,1
750,yellowfin,1
751,apibased,1
752,teamoriented,1
753,rfp,1
754,dynamic,1
755,theme,1
756,sqlalchemy,1
757,b,1
758,gresql,1
759,liaison,1
760,dhs,1
761,automating,1
762,discrepancy,1
763,aggregation,1
764,party,1
765,third,1
766,enterprise,1
767,canadian,1
768,french,1
769,result,1
770,alignment,1
771,dependency,1
772,form,1
773,post,1
774,rate,1
775,certification,1
776,qatesting,1
777,etlelt,1
778,microstrategy,1
779,selfmotivation,1
780,visualisation,1
781,ethic,1
782,field,1
783,safe,1
784,waterfall,1
785,kanban,1
786,lifecycle,1
787,stoploss,1
788,underwriting,1
789,fluency,1
790,task,1
791,rule,1
792,dictionary,1
793,conversion,1
794,multivariate,1
795,forecast,1
796,acrobat,1
797,proposal,1
798,literature,1
799,grafana,1
800,gitlab,1
801,protection,1
802,angular,1
803,react,1
804,typescript,1
805,people,1
806,informatics,1
807,workforce,1
808,automated,1
809,center,1
810,contact,1
811,ecosystem,1
812,pay,1
813,apple,1
814,allocation,1
815,income,1
816,fixed,1
817,toad,1
818,pki,1
819,encryption,1
820,cryptography,1
821,graphing,1
822,etq,1
823,instict,1
824,ingestion,1
825,organizing,1
826,calculation,1
827,gosu,1
828,guidewire,1
829,anaplan,1
830,inclusion,1
831,diversity,1
832,supplier,1
833,prevention,1
834,law,1
835,tax,1
836,copywriting,1
837,advertising,1
838,care,1
839,valuebased,1
840,gaap,1
841,website,1
842,budgeting,1
843,setting,1
844,merchandising,1
845,buying,1
846,map,1
847,businessobjects,1
848,atlassian,1
849,perl,1
850,basic,1
851,developer,1
852,portfolio,1
853,confidentiality,1
854,mentality,1
855,denmark,1
856,productivity,1
857,ssis,1
858,salesforcecom,1
859,eloqua,1
860,notebook,1
861,jupyter,1
862,electricity,1
863,u,1
864,oral,1
865,record,1
866,resolution,1
867,issue,1
868,curiosity,1
869,table,1
870,flexibility,1
871,influencing,1
872,handling,1
873,employment,1
874,introduction,1
875,cnet,1
876,crystal,1
877,geotechnical,1
878,geologic,1
879,gps,1
880,lidar,1
881,scada,1
882,benefit,1
883,qa,1
884,understanding,1
885,dc,1
886,shell,1
887,neuroimaging,1
888,trading,1
889,prioritizing,1
890,cs,1
891,facing,1
892,navy,1
893,oncology,1
894,empathy,1
895,conflict,1
896,acceptance,1
897,servicenow,1
898,legal,1
899,laboratory,1
900,mri,1
901,jql,1
902,pipelining,1
903,editing,1
904,esri,1
905,boarding,1
906,dash,1
907,schema,1
908,tag,1
909,pythonr,1
910,onboarding,1
911,lifelong,1
912,targeting,1
913,instrumentation,1
914,soapui,1
915,ftp,1
916,visio,1
917,azuredevops,1
918,informatica,1
919,resultfocused,1
920,quick,1
921,audience,1
922,lakehouse,1
923,cancer,1
924,molecular,1
925,biology,1
926,productled,1
927,tagging,1
928,finding,1
929,eb,1
930,larger,1
931,ansible,1
932,terraform,1
933,native,1
934,interface,1
935,synthesis,1
936,powerpivot,1
937,powerquery,1
938,maximo,1
939,statement,1
940,attribute,1
941,kyc,1
942,scorecard,1
943,minitab,1
944,investment,1
945,return,1
946,redesign,1
947,food,1
948,apps,1
949,databrick,1
950,independence,1
951,reasoning,1
952,aviation,1
953,outlook,1
954,omni,1
955,hashboard,1
956,json,1
