,cleaned_location,count
223,United States,92
144,"New York, NY",67
187,"San Francisco, CA",33
227,"Washington, DC",21
10,"Atlanta, GA",21
195,"Seattle, WA",17
39,"Chicago, IL",15
139,"Mountain View, CA",14
92,"Houston, TX",12
11,"Austin, TX",12
145,"New York, United States",11
117,"Los Angeles, CA",10
37,"Charlotte, NC",10
186,"San Diego, CA",10
188,"San Jose, CA",10
50,"Dallas, TX",10
8,"Arlington, VA",10
212,"Sunnyvale, CA",10
122,"Manhattan, NY",9
162,"Plano, TX",8
29,"California, United States",8
22,"Boston, MA",8
128,"McLean, VA",7
41,"Cincinnati, OH",6
190,"Santa Clara, CA",6
174,"Richmond, VA",6
58,"Denver, CO",6
134,"Minneapolis, MN",5
12,"Baltimore, MD",5
206,"St Louis, MO",5
189,"San Mateo, CA",5
71,"Fort Meade, MD",4
129,"Memphis, TN",4
226,"Warren, MI",4
25,"Brooklyn, NY",4
141,"Nashville, TN",4
214,"Tampa, FL",3
218,"Texas, United States",3
130,"Menlo Park, CA",3
225,"Virginia, United States",3
161,"Pittsburgh, PA",3
168,"Purchase, NY",3
170,"Queens, NY",3
172,"Redwood City, CA",3
104,"Jersey City, NJ",3
100,"Irvine, CA",3
54,"Dearborn, MI",3
75,"Foster City, CA",3
177,"Rochester, NY",3
204,"Springfield, VA",3
200,"South San Francisco, CA",3
0,"Albany, NY",3
36,"Chantilly, VA",3
13,"Beaverton, OR",3
3,"Alexandria, VA",3
15,"Bellevue, WA",3
5,"Annapolis, MD",3
16,"Bentonville, AR",3
95,"Huntsville, AL",2
133,"Michigan, United States",2
183,"Salt Lake City, UT",2
86,"Hartford, CT",2
88,"Hillside, NJ",2
89,"Hoboken, NJ",2
24,"Brewster, NY",2
46,"Columbus, OH",2
126,"Massachusetts, United States",2
171,"Redmond, WA",2
96,"Illinois, United States",2
208,"Stamford, CT",2
101,"Irving, TX",2
154,"Orlando, FL",2
103,"Jacksonville, FL",2
44,"Colorado Springs, CO",2
192,"Schaumburg, IL",2
108,Killeen-Temple Area,2
18,"Birmingham, AL",2
20,"Boca Raton, FL",2
119,"Manassas, VA",2
98,"Indianapolis, IN",2
115,"Long Beach, CA",2
169,"Quantico, VA",2
159,"Philadelphia, PA",2
59,"Detroit, MI",2
220,"Torrance, CA",2
6,"Arizona, United States",2
149,"North Reading, MA",2
164,"Pleasanton, CA",2
48,"Cupertino, CA",2
138,"Mount Laurel, NJ",2
231,"Wichita, KS",2
151,"Oakland, CA",2
9,"Ashburn, VA",2
156,"Palo Alto, CA",1
180,"Rosemont, IL",1
181,"Roswell, GA",1
179,"Roseland, NJ",1
157,"Peachtree City, GA",1
178,"Rock Hill, SC",1
182,"Rutherford, NJ",1
158,"Pennsylvania, United States",1
30,"Cambridge, MA",1
160,"Phoenix, AZ",1
31,"Camden, NJ",1
23,"Brentwood, TN",1
28,"Burlington, VT",1
176,"Riverside County, CA",1
163,"Plantation, FL",1
175,"Ridgefield Park, NJ",1
165,"Plymouth, MN",1
166,"Portland, ME",1
173,"Reston, VA",1
167,"Princeton, IN",1
26,"Broward County, FL",1
27,Buffalo-Niagara Falls Area,1
52,"Davidson County, TN",1
194,"SeaTac, WA",1
184,"San Antonio, TX",1
185,"San Carlos, CA",1
213,"Superior, WI",1
7,"Arkansas, United States",1
215,"Tempe, AZ",1
216,"Temple Terrace, FL",1
217,"Terrell, TX",1
219,"Thousand Oaks, CA",1
221,"Trenton, NJ",1
222,"Tulsa, OK",1
224,"Vancouver, WA",1
4,"Ann Arbor, MI",1
2,"Aledo, TX",1
228,"West Hollywood, CA",1
229,"Westwood, MA",1
230,"White Plains, NY",1
232,"Wilsonville, OR",1
211,"Suffolk, VA",1
210,"Sterling, VA",1
209,"Stanford, CA",1
197,"Skillman, NJ",1
21,"Boise, ID",1
19,"Blacksburg, VA",1
17,"Beverly Hills, CA",1
191,"Sarasota, FL",1
193,"Scottsdale, AZ",1
196,"Shaker Heights, OH",1
198,"Smyrna, GA",1
207,"St Paul, MN",1
199,"South Salt Lake, UT",1
201,"Spring, TX",1
202,"Springdale, AR",1
203,"Springfield, MO",1
14,"Bedford, NH",1
205,"St Louis Park, MN",1
155,"Orono, ME",1
143,"New Jersey, United States",1
153,"Oklahoma City, OK",1
152,"Ohio, United States",1
76,"Fraser, MI",1
77,"Fremont, CA",1
78,"Frisco, TX",1
79,"Fulton, MD",1
80,"Glenview, IL",1
81,"Golden, CO",1
82,Greater Bend Area,1
83,Greater Savannah Area,1
84,"Green Bay, WI",1
85,"Harrisburg, PA",1
87,"Herndon, VA",1
90,"Holyoke, MA",1
91,"Houston County, GA",1
93,"Hunt Valley, MD",1
94,"Huntington, WV",1
97,"Indiana, PA",1
99,"Ipswich, MA",1
47,"Cranberry, PA",1
74,"Fort Wayne, IN",1
73,"Fort Stewart, GA",1
62,"Edgewood, KY",1
51,"Dalton, GA",1
55,"Deerfield, IL",1
56,"Delaware, OH",1
57,"Denton, TX",1
49,"Cypress, TX",1
60,"Douglas County, CO",1
61,"Eden Prairie, MN",1
63,"Eglin Village, FL",1
72,"Fort Mill, SC",1
64,"El Segundo, CA",1
65,"Elk Grove, CA",1
66,"Elkhart County, IN",1
67,"Englewood, CO",1
68,"Fairfield, OH",1
69,"Fenton, MO",1
70,"Florida, United States",1
45,"Columbia, MD",1
102,"Jackson, MI",1
105,"Johnston, RI",1
34,"Cary, NC",1
131,"Merritt Island, FL",1
132,"Miami, FL",1
135,"Monterey, CA",1
136,"Morristown, NJ",1
137,"Morrisville, NC",1
35,"Cerritos, CA",1
140,"Murray, UT",1
142,"New Brunswick, NJ",1
40,"Chillicothe, IL",1
53,"Dayton, OH",1
33,"Carmel, IN",1
32,"Canonsburg, PA",1
146,"Newport News, VA",1
147,"Newport, KY",1
148,"Newton, MA",1
150,"Oakbrook Terrace, IL",1
38,"Charlottesville, VA",1
42,"College Station, TX",1
106,"Joint Base Lewis-McChord, WA",1
116,"Longmont, CO",1
107,"Kansas City, MO",1
109,"Lakeland, FL",1
110,"Landover, MD",1
111,Latin America,1
112,"Leesburg, VA",1
113,"Lexington, MA",1
114,"Linthicum Heights, MD",1
1,"Albuquerque, NM",1
127,"McKinney, TX",1
118,"Lowell, MA",1
120,"Manchester, IN",1
121,"Manhattan Beach, CA",1
43,"Collegeville, PA",1
123,"Marina del Rey, CA",1
124,"Marlborough, MA",1
125,"Mason, OH",1
233,"Wisconsin, United States",1
